Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.003,0.00,0.031,0.112,0.00,0.00,0.212,0.642,0.00,1649
Client   1,0.076,0.130,0.147,0.647,0.00,0.00,0.00,0.00,0.00,0.00,4296
Client   2,0.00,0.003,0.00,0.003,0.00,0.880,0.00,0.00,0.115,0.00,391
Client   3,0.564,0.00,0.001,0.001,0.365,0.069,0.00,0.00,0.001,0.00,1880
Client   4,0.00,0.636,0.00,0.104,0.001,0.260,0.00,0.00,0.00,0.00,3039
Client   5,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2878
Client   6,0.00,0.00,0.044,0.021,0.054,0.00,0.00,0.002,0.879,0.00,4371
Client   7,0.00,0.00,0.004,0.714,0.00,0.041,0.001,0.241,0.00,0.00,789
Client   8,0.007,0.143,0.850,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4606
Client   9,0.001,0.001,0.001,0.001,0.00,0.00,0.002,0.005,0.00,0.990,4987
Client  10,0.005,0.001,0.001,0.00,0.987,0.00,0.00,0.00,0.001,0.005,1327
Client  11,0.00,0.00,0.005,0.000,0.00,0.00,0.994,0.00,0.00,0.00,4243
Client  12,0.006,0.00,0.148,0.00,0.093,0.723,0.002,0.00,0.025,0.003,1167
Client  13,0.000,0.001,0.000,0.018,0.000,0.157,0.00,0.823,0.00,0.00,4408
Client  14,0.00,0.00,0.00,0.061,0.014,0.008,0.007,0.883,0.028,0.00,907
Client  15,0.00,0.00,0.00,0.009,0.00,0.00,0.991,0.00,0.00,0.00,768
Client  16,0.010,0.273,0.00,0.390,0.015,0.307,0.005,0.00,0.00,0.00,205
Client  17,0.00,0.408,0.015,0.00,0.577,0.00,0.00,0.00,0.00,0.00,3502
Client  18,0.111,0.107,0.00,0.00,0.134,0.648,0.00,0.00,0.00,0.00,3233
Client  19,0.239,0.001,0.001,0.716,0.001,0.002,0.001,0.001,0.001,0.038,1354
