Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.016,0.317,0.00,0.223,0.048,0.023,0.002,0.186,0.100,0.086,2247
Client   1,0.161,0.044,0.723,0.000,0.071,0.00,0.00,0.00,0.00,0.00,2610
Client   2,0.028,0.000,0.003,0.258,0.227,0.000,0.126,0.000,0.317,0.040,2017
Client   3,0.221,0.017,0.118,0.023,0.106,0.001,0.044,0.000,0.261,0.209,3029
Client   4,0.007,0.102,0.129,0.242,0.002,0.016,0.169,0.096,0.00,0.236,811
Client   5,0.410,0.016,0.00,0.004,0.002,0.414,0.154,0.00,0.00,0.00,2892
Client   6,0.002,0.251,0.001,0.004,0.221,0.520,0.00,0.00,0.00,0.00,3130
Client   7,0.125,0.086,0.002,0.212,0.005,0.032,0.014,0.058,0.003,0.463,1770
Client   8,0.037,0.027,0.005,0.166,0.068,0.008,0.025,0.298,0.035,0.332,3642
Client   9,0.086,0.054,0.027,0.007,0.078,0.025,0.087,0.619,0.010,0.007,1844
Client  10,0.013,0.059,0.070,0.100,0.041,0.255,0.052,0.023,0.310,0.077,2539
Client  11,0.095,0.048,0.00,0.001,0.549,0.020,0.150,0.008,0.002,0.126,1678
Client  12,0.052,0.002,0.003,0.044,0.166,0.133,0.305,0.001,0.199,0.095,2415
Client  13,0.000,0.114,0.214,0.122,0.019,0.038,0.00,0.493,0.00,0.00,2533
Client  14,0.005,0.513,0.215,0.220,0.047,0.00,0.00,0.00,0.00,0.00,2525
Client  15,0.029,0.139,0.085,0.052,0.104,0.073,0.013,0.082,0.423,0.00,4043
Client  16,0.036,0.053,0.027,0.207,0.021,0.004,0.007,0.048,0.00,0.596,2058
Client  17,0.139,0.068,0.084,0.003,0.059,0.005,0.643,0.00,0.00,0.00,3133
Client  18,0.164,0.007,0.115,0.226,0.231,0.157,0.016,0.049,0.035,0.00,2548
Client  19,0.287,0.052,0.138,0.097,0.000,0.061,0.201,0.116,0.048,0.00,2536
